titre,entreprise,contrat,lieu,salaire_brut_texte,experience,statut,metier,secteur,etudes,teletravail,url_source,salaire_min,salaire_max
Ingénieur Offshore F/H,ARNEST,CDI,Neuilly-sur-Seine - 92,35 - 48 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Chargé d'appels d'offres,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177763050W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,35.0,48.0
Ingénieur Planification F/H,NEO2,CDI,Alençon - 61,40 - 50 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Ingénieur planification,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Total possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177746450W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,40.0,50.0
Ingénieur en électricité F/H,Adsearch,CDI,Ivry-sur-Seine - 94,50 - 60 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur génie électrique,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177870808W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,50.0,60.0
Ingénieur qualité F/H,PB SOLUTIONS,CDI,Chabris - 36,42 - 50 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur qualité,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177703972W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,42.0,50.0
Ingénieur géotechnicien F/H,DGE INTERIM,CDI,Vitrolles - 13,42 - 58 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Géotechnicien,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177836852W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,42.0,58.0
Ingénieur structures F/H,DGE INTERIM,CDI,Vigneux-sur-Seine - 91,42 - 58 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur d'études du BTP,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177836780W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,42.0,58.0
Ingénieur électronique F/H,VIVERIS,CDI,Massy - 91,A partir de 35 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Ingénieur électronique,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177829150W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,35.0,35.0
Ingénieur automatisme F/H,ABYLSEN,CDI,Colmar - 68,32 - 52 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Ingénieur informatique industrielle,ACTIVITÉS DES SIÈGES SOCIAUX,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177827008W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,32.0,52.0
Ingénieur électrotechnique F/H,SILKHOM,CDI,Saint-Dizier - 52,36 - 45 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Ingénieur électronique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177582023W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,36.0,45.0
Ingénieur FPGA F/H,elsys-design,CDI,Valence - 26,35 - 55 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Développeur,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177786672W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,35.0,55.0
Ingénieur DevOps F/H,ALFI,CDI,Boulogne-Billancourt - 92,40 - 60 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Développeur,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177757672W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,40.0,60.0
Ingénieur DHS F/H,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,CDI,Valbonne - 06,A partir de 40 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Ingénieur R&D,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177599277W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,40.0,40.0
Ingénieur forage - F/H,DAVRICOURT,CDI,Pau - 64,A partir de 60 k€ brut annuel,Minimum 10 ans,Cadre du secteur privé,Ingénieur travaux,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177856494W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,60.0,60.0
Ingénieur Cybersécurité F/H,Hays France,CDI,Dijon - 21,35 - 45 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur sécurité informatique,ACTIVITÉS DES SIÈGES SOCIAUX,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177848022W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,35.0,45.0
Ingénieur IVVQ F/H,ALTEN,CDI,La Seyne-sur-Mer - 83,36 - 48 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur intégration validation,CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177845758W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,36.0,48.0
Ingénieur CVCD F/H,Réseau Talents,CDI,Paris 12 - 75,55 - 65 k€ brut annuel,Minimum 8 ans,Cadre du secteur privé,Ingénieur CVC,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177818946W?motsCles=Ing%C3%A9nieur&page=13&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,55.0,65.0
Ingénieur radio F/H,DAVIDSON LYON,CDI,Lyon 06 - 69,32 - 48 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur radio,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177810980W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,32.0,48.0
Ingénieur électricité F/H,APTISKILLS,CDI,Marseille 06 - 13,A partir de 30 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur génie électrique,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177827180W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,30.0,30.0
Ingénieur électricité F/H,APTISKILLS SUD-OUEST,CDI,Bordeaux - 33,A partir de 35 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur génie électrique,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177771266W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,35.0,35.0
Ingénieur Fermentation F/H,Abolis Biotechnologie,CDI,Évry-Courcouronnes   - 91,35 - 45 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur en biotechnologies,RECHERCHE-DÉVELOPPEMENT EN BIOTECHNOLOGIE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177762613W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,35.0,45.0
Ingénieur électrique F/H,NICOL  PAUL-ADRIEN,CDI,Joinville - 52,32 - 48 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur génie électrique,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177876071W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,32.0,48.0
Ingénieur en hydrodynamique F/H,PARLYM,CDI,,A partir de 30 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur R&D,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177868946W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,30.0,30.0
Ingénieur Application F/H,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,Grenoble - 38,45 - 55 k€ brut annuel,Aucune expérience exigée,Cadre du secteur privé,Ingénieur support des ventes,ACTIVITÉS DE SOUTIEN AUX AUTRES INDUSTRIES EXTRACTIVES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177857978W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,45.0,55.0
Ingénieur de production F/H,Winsearch - Rouen Industrie,CDI,Oyonnax - 01,40 - 45 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Ingénieur de production industrielle,FABRICATION D'EMBALLAGES EN MATIÈRES PLASTIQUES,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177850081W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,40.0,45.0
Ingénieur Matériaux F/H,CTS Corporate,CDI,Marignane - 13,30 - 35 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur matériaux,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177849918W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,30.0,35.0
INGÉNIEUR PLANNING F/H,MESLI CONSULTING,CDI,Massy - 91,32 - 44 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Ingénieur planification,AUTRES ACTIVITÉS DE SOUTIEN AUX ENTREPRISES NCA,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177769961W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,32.0,44.0
Ingénieur électrotechnicien F/H,Energeo Technologies,CDI,Montlhéry - 91,45 - 54 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Ingénieur électronique,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177834216W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,45.0,54.0
Ingénieur méthodes F/H,Synergie Colomiers,Mission d'intérim   de 6 mois,Toulouse - 31,40 - 45 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur process,ACTIVITÉS DES AGENCES DE TRAVAIL TEMPORAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177829158W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,40.0,45.0
Ingénieur Planificateur F/H,PARLYM,CDI,Pierrelatte - 26,40 - 50 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Supply planner,"INGÉNIERIE, ÉTUDES TECHNIQUES",,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177822922W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,40.0,50.0
Ingénieur CVC F/H,ADSOM,CDI,Lyon 02 - 69,35 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur CVC,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177824386W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,35.0,45.0
Ingénieur CVC F/H,ADSOM,CDI,Toulouse - 31,35 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur CVC,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177824377W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,35.0,45.0
Ingénieur structure F/H,ADSOM,CDI,Lyon 02 - 69,35 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur calcul et structure,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177824252W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,35.0,45.0
Ingénieur structure F/H,ADSOM,CDI,Toulouse - 31,35 - 45 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur calcul et structure,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177824246W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,35.0,45.0
Ingénieur mécanique F/H,CAP RH,CDI,La Hague - 50,40 - 49 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Ingénieur mécanique,MÉCANIQUE INDUSTRIELLE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177824075W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,40.0,49.0
Ingénieur projet F/H,NEO2,CDI,Longwy - 54,55 - 70 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Assistant de gestion,"INGÉNIERIE, ÉTUDES TECHNIQUES",,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177816232W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,55.0,70.0
Ingénieur Automaticien F/H,AKKODIS I&S SAS,CDI,Guyancourt - 78,A partir de 32 k€ brut annuel,Tous niveaux d'expérience acceptés,Cadre du secteur privé,Ingénieur informatique industrielle,"ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES DIVERSES",,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177810864W?motsCles=Ing%C3%A9nieur&page=14&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,32.0,32.0
Cadre de Santé F/H,LNA Santé,CDI,Serris - 77,45 - 46 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Cadre de santé,HÉBERGEMENT SOCIAL POUR PERSONNES ÂGÉES,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177771674W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=0,45.0,46.0
Cadre de Santé - (77) F/H,Talents Santé,CDI,Villeneuve-Saint-Denis - 77,A partir de 40 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Cadre de santé,ACTIVITÉS HOSPITALIÈRES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177816375W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=1,40.0,40.0
Cadre de santé - MPR F/H,Talents Santé,CDI,Domont - 95,50 - 55 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Cadre de santé,ACTIVITÉS DES INFIRMIERS ET DES SAGES-FEMMES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177826236W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=2,50.0,55.0
Cadre de santé de Nuit F/H,Talents Santé,CDI,Sceaux - 92,45 - 55 k€ brut annuel,Minimum 2 ans,Cadre du secteur privé,Cadre de santé,ACTIVITÉS DE SANTÉ HUMAINE NON CLASSÉES AILLEURS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177789367W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=3,45.0,55.0
cadre de santé en dialyse F/H,Talents Santé,CDI,Sartrouville - 78,A partir de 40 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Cadre de santé,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177799484W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=4,40.0,40.0
Cadre supérieur de santé - Santé Mentale F/H,SYNERGIE CARE Division Cadres et Dirigeants,CDI,Cahors - 46,A partir de 50 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Cadre supérieur de santé,ACTIVITÉS HOSPITALIÈRES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177801568W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=5,50.0,50.0
Coordinateur parcours de santé F/H,APPUI PARCOURS SANTE 27 EST,CDI,Gaillon - 27,A partir de 32 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Infirmier,AUTRES ORGANISATIONS FONCTIONNANT PAR ADHÉSION VOLONTAIRE,,Ponctuel autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177785767W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=6,32.0,32.0
Cadre de santé F/H,SYNERGIE CARE Division Cadres et Dirigeants,CDI,Lyon 01 - 69,40 - 45 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Cadre de santé,ACTIVITÉS HOSPITALIÈRES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177838908W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=7,40.0,45.0
Cadre de santé F/H,HARRY HOPE,CDI,Montpellier - 34,45 - 55 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Cadre de santé,ACTIVITÉS HOSPITALIÈRES,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177743957W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=8,45.0,55.0
Cadre de santé en réanimation F/H,Talents Santé,CDI,Paris 14 - 75,45 - 55 k€ brut annuel,Minimum 2 ans,Agent de maîtrise / Technicien,Cadre de santé,ACTIVITÉS DE SANTÉ HUMAINE NON CLASSÉES AILLEURS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177809454W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=9,45.0,55.0
Cadre de santé F/H,CDA-Perspectives,CDD   de 6 mois,Paris 15 - 75,50 - 60 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Cadre de santé,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177798052W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=10,50.0,60.0
"Cadre de santé, F/H",Fondation Partage et Vie,CDI,Saint-Priest-en-Jarez - 42,40 - 44 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Cadre de santé,HÉBERGEMENT MÉDICALISÉ POUR PERSONNES ÂGÉES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177798352W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=11,40.0,44.0
Cadre de santé F/H,UGECAM OCCITANIE,CDI,Le Boulou - 66,42 - 43 k€ brut annuel,Minimum 6 ans,Cadre du secteur privé,Cadre de santé,ACTIVITÉS GÉNÉRALES DE SÉCURITÉ SOCIALE,,Partiel possible,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177811734W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=12,42.0,43.0
CADRE DE SANTÉ F/H,Néogys,CDI,Toulouse - 31,48 - 50 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Cadre de santé,HÉBERGEMENT MÉDICALISÉ POUR PERSONNES ÂGÉES,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177851555W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=13,48.0,50.0
Cadre de santé F/H,1   CDI,Acto CDI,Clermont-Ferrand - 63,36 - 40 k€ brut annuel,Minimum 1 an,Cadre du secteur privé,Cadre de santé,AUTRE MISE À DISPOSITION DE RESSOURCES HUMAINES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177823703W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=14,36.0,40.0
Directeur d'établissement de santé (76) F/H,RECRUTHOME SANTE,CDI,Versailles - 78,90 - 120 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Directeur d'établissement médico-social,ACTIVITÉS DES SOCIÉTÉS HOLDING,,Non autorisé,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177743722W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=15,90.0,120.0
Infirmier en santé au travail F/H,Talents Santé,CDI,Privas - 07,A partir de 35 k€ brut annuel,Tous niveaux d'expérience acceptés,Agent de maîtrise / Technicien,Infirmier,ACTIVITÉS DES AGENCES DE PLACEMENT DE MAIN-D'OEUVRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177873751W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=16,35.0,35.0
CADRE DE SANTÉ F/H,Arseaa - action solidaire,CDI,Toulouse - 31,A partir de 39 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Cadre de santé,AUTRES ORGANISATIONS FONCTIONNANT PAR ADHÉSION VOLONTAIRE,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177764237W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=17,39.0,39.0
Cadre de santé Dialyse/Médecine F/H,Talents Santé,CDI,Ozoir-la-Ferrière - 77,45 - 55 k€ brut annuel,Minimum 5 ans,Cadre du secteur privé,Cadre de santé,ACTIVITÉS DE SANTÉ HUMAINE NON CLASSÉES AILLEURS,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177875523W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=18,45.0,55.0
Cadre de santé F/H,HOSPITALITE SAINT THOMAS DE VILLENEUVE,CDI,Saint-Brieuc - 22,A partir de 42 k€ brut annuel,Minimum 3 ans,Cadre du secteur privé,Cadre de santé,HÉBERGEMENT MÉDICALISÉ POUR PERSONNES ÂGÉES,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177856836W?motsCles=Sant%C3%A9&page=0&typesConvention=143684&typesConvention=143685&typesConvention=143686&typesConvention=143687&typesConvention=143706&selectedIndex=19,42.0,42.0
